	name	cat	address	emp	vac
0	" Филиал № 1 ООО ""МЕГАКОМ"" В Г.ВЛАДИВОСТОК"	Торговля оптовая напитками…	690039, г Владивосток, ул Русская, д. 46, корп. Б	57	3
1	" Филиал ООО ""Риквэст-Сервис"""	Стирка и химическая чистка текстильных и меховых изделий	690088, г Владивосток, ш Военное, д. 1, корп. А	93	2
2	"""Азиатско-Тихоокеанский Банк"" (ПАО) "	Денежное посредничество прочее…	690091, г Владивосток, ул Светланская, д. 56	209	16
3	"""ВЛАДИВОСТОКСКИЙ МОЛОЧНЫЙ КОМБИНАТ"" ФИЛИАЛ АО ""ВБД"""	Производство молока (кроме сырого) и молочной продукции	690087, г Владивосток, ул Стрелочная, д. 19	23	0
4	"""ВЛАДИВОСТОКСКИЙ"" ФИЛИАЛ ФГУП ""МОСКОВСКОЕ ПРОП"" МИНТРУДА РОССИИ"	Производство медицинских инструментов и оборудования…	690068, г Владивосток, ул Магнитогорская, д. 8	62	3
5	"""ВМРК"" ФГБОУ ВО ""Дальрыбвтуз"""	Образование высшее…	690068, г Владивосток, ул Кирова, д. 93	150	6
6	"""ДМУ"" (филиал) ФГБОУ ВО ""Дальрыбвтуз"""	Образование высшее	692903, г Находка, пр-кт Находкинский, д. 86	139	0
7	"""ДОРОЖНАЯ ДИСТАНЦИЯ № 4"" ФКУ МИНОБОРОНЫ РОССИИ ""ДЭУ № 16"""	Деятельность, связанная с обеспечением военной безопасности…	690105, г Владивосток, ул Бородинская, д. 26	33	0
8	"""МАКРО-РЕГИОН ""ДАЛЬНИЙ ВОСТОК"" "	Деятельность по предоставлению услуг телефонной связи	690033, г Владивосток, пр-кт 100-летия Владивостока, д. 57, корп. Д	287	1
9	"696 отряд судов обеспечения флота - ФКУ ""Войсковая часть 62665"" "	Деятельность, связанная с обеспечением военной безопасности	690091, г Владивосток, ул Корабельная Набережная, д. 17, 36 причал, КПП под опорой моста	1540	0
10	"OOO ""Инженерный квартал"""	Производство электромонтажных работ	692801, г Большой Камень, ул Степана Лебедева, д. 1	59	3
11	Автобаза ДВО РАН ФГУП	Деятельность сухопутного и трубопроводного транспорта	690022, г Владивосток, пр-кт 100 лет Владивостоку, д. 161, корп. А	24	0
12	"Автоколонна 1273 ПАО ""Приморавтотранс"""	Деятельность сухопутного пассажирского транспорта: внутригородские и пригородные перевозки пассажиров	692522, г Уссурийск, ул Тургенева, д. 113	191	1
13	"Административно-хозяйственный центр - структурное подразделение Дальневосточной железной дороги - филиала ОАО ""РЖД"""	Деятельность железнодорожного транспорта: междугородные и международные пассажирские перевозки…	690090, г Владивосток, ул Алеутская, д. 6, офис 102,113	106	1
14	Администрация города Владивостока	Деятельность органов местного самоуправления муниципальных районов	690091, г Владивосток, пр-кт Океанский, д. 20	631	0
15	Администрация Приморского края	Деятельность органов государственного управления и местного самоуправления по вопросам общего характера	690091, г Владивосток, ул Светланская, д. 22	1835	0
16	"АКБ ""АЛМАЗЭРГИЭНБАНК"" АО"	Денежное посредничество прочее	690091, г Владивосток, пр-кт Океанский, д. 17, офис 109, собеседование по предварительному согласованию с работодателем по телефону	694	0
17	"АКБ ""Бэнк оф Чайна"" (АО)"	Денежное посредничество прочее	690003, г Владивосток, ул Верхнепортовая, д. 44, корп. А	85	2
18	"АНО ""ХК ""АДМИРАЛ ПК"""	Деятельность спортивных объектов…	690024, г Владивосток, ул Маковского, д. 284	22	1
19	"АНОО ""Православная гимназия"""	Образование среднее общее	690049, г Владивосток, ул Бородинская, д. 25	33	0
20	"АНОО ДПО ""Автошкола ПРОФИ ЦЕНТР"""	Образование	690035, г Владивосток, ул Вязовая, д. 1, корп. В	42	2
21	"АНОО ДПО ""ПМЦ"""	Образование профессиональное среднее…	690014, г Владивосток, ул Гоголя, д. 41, офис 5625	38	1
22	"АНПОО ""Дальневосточный центр непрерывного образования"""	Аренда и управление собственным или арендованным нежилым недвижимым имуществом…	"690014, г Владивосток, ул Гоголя, д. 41, офис 6505, территория ""ВГУЭС"" спортивный корпус, 2 этаж"	389	0
23	"Анучинский филиал ФГБУ ""Управление ""Приммелиоводхоз"""	Предоставление услуг в области растениеводства	692301, р-н Анучинский, с Анучино, ул Петровского, д. 53	25	2
24	"АО ""1470 УМТО"""	Деятельность по складированию и хранению…	690034, г Владивосток, ул Фадеева, д. 42	466	2
25	"АО ""44 РЗ РТВ"""	Ремонт и техническое обслуживание судов и лодок…	690080, г Владивосток, ул Борисенко, д. 100, корп. Д, офис 4 В/Г	33	1
26	"АО ""92 СРЗ"""	Ремонт и техническое обслуживание судов и лодок…	690012, г Владивосток, ул Калинина, д. 244	126	1
27	"АО ""98 АРЗ"""	Деятельность, связанная с обеспечением военной безопасности…	690089, г Владивосток, ул Иртышская, д. 19	16	0
28	"АО ""Автоматика"""	Ремонт машин и оборудования	690001, г Владивосток, ул Светланская, д. 113, корп. Г	41	0
29	"АО ""Анкувер"""	Производство алюминия…	692764, г Артем, ул Центральная, д. 1, корп. А, офис 8	109	1
30	"АО ""БАНК РУССКИЙ СТАНДАРТ"""	Денежное посредничество прочее	690091, г Владивосток, ул Пограничная, д. 15, корп. в	48	0
31	"АО ""Бетоныч"""	Производство товарного бетона	690074, г Владивосток, ул Руднева, д. 17, офис 2/10	158	2
32	"АО ""ВАРЯГ-ТЕХСЕРВИС"""	Ремонт электрического оборудования…	690105, г Владивосток, ул Русская, д. 94, корп. а	141	5
33	"АО ""ВБЩЗ"""	Добыча декоративного и строительного камня, известняка, гипса, мела и сланцев	690028, г Владивосток, ул Руднева, д. 17	155	4
34	"АО ""Винлаб"""	Торговля розничная напитками в специализированных магазинах	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 155, корп. 2, офис 24	60	4
35	"АО ""Винлаб-Благовещенск"""	Торговля розничная алкогольными напитками, кроме пива, в специализированных магазинах…	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 155	121	0
36	"АО ""ВКПП"""	Производство изделий из бетона для использования в строительстве…	690074, г Владивосток, ул Снеговая, д. 42, корп. Б	68	0
37	"АО ""Владивостокский ГУМ"""	Аренда и управление собственным или арендованным недвижимым имуществом…	690091, г Владивосток, ул Светланская, д. 35	46	0
38	"АО ""Владхлеб"""	Производство хлеба и мучных кондитерских изделий, тортов и пирожных недлительного хранения…	690014, г Владивосток, пр-кт Народный, д. 29	641	19
39	"АО ""ВОЕНТОРГ-ВОСТОК"""	Деятельность, связанная с обеспечением военной безопасности…	690003, г Владивосток, ул Верхнепортовая, д. 12б	460	3
40	"АО ""ВОП ""Гранит"""	Производство инструментов и приборов для измерения, тестирования и навигации	690039, г Владивосток, ул Енисейская, д. 55	150	11
41	"АО ""ВОСТОКТЕЛЕКОМ"""	Деятельность по предоставлению услуг телефонной связи	690091, г Владивосток, ул Прапорщика Комарова, д. 27	79	0
42	"АО ""ВОСТОКТРАНССЕРВИС"""	Рыболовство морское	690012, г Владивосток, ул Калинина, д. 231	107	0
43	"АО ""Восточная верфь"""	Строительство кораблей, судов и плавучих конструкций…	690017, г Владивосток, ул Героев Тихоокеанцев, д. 1	1022	17
44	"АО ""ГАЗПРОМ ГАЗОРАСПРЕДЕЛЕНИЕ ДАЛЬНИЙ ВОСТОК"""	Распределение газообразного топлива по газораспределительным сетям	690002, г Владивосток, ул Мельниковская, д. 119, Обязательна предварительная запись на собеседование по телефону; наличие резюме у кандидатов	96	0
45	"АО ""Гипрогазцентр"""	Деятельность в области архитектуры, связанная с созданием архитектурного объекта	690091, г Владивосток, ул Алеутская, д. 11, офис 512	1065	0
46	"АО ""ДАЛЬЖАСО"""	Страхование жизни	690002, г Владивосток, пр-кт Океанский, д. 123, корп. Б	46	0
47	"АО ""Дальзавод-Терминал"""	Транспортная обработка грузов	690001, г Владивосток, ул Дальзаводская, д. 2, офис 201	193	4
48	"АО ""ДАЛЬИНВЕСТГРУПП"""	Деятельность головных офисов…	690091, г Владивосток, ул Уборевича, д. 17, корп. А, 2-ой этаж в 3-этажном здании	11	0
49	"АО ""ДАЛЬКОМХОЛОД"""	Хранение и складирование замороженных или охлажденных грузов…	690035, г Владивосток, стр Причал 44	238	2
50	"АО ""ДАЛЬНЕВОСТОЧНОЕ ПГО """	Работы геолого-разведочные, геофизические и геохимические в области изучения недр и воспроизводства минерально-сырьевой базы…	690091, г Владивосток, пр-кт Океанский, д. 29/31	474	0
51	"АО ""Дальневосточный арсенал"""	Производство оружия и боеприпасов	690065, г Владивосток, ул Сипягина, д. 21	21	0
52	"АО ""ДАЛЬРЫБА"""	Рыболовство	г Владивосток, ул.Светланская, 51а	415	0
53	"АО ""Дальрыбпром"""	Рыболовство морское…	690106, г Владивосток, пр-кт Океанский, д. 69, офис 416	152	0
54	"АО ""Дальрыбтехцентр"""	Производство машин и оборудования для изготовления текстильных, швейных, меховых и кожаных изделий	690012, г Владивосток, ул Калинина, д. 42	96	0
55	"АО ""ДВЭУК-ГЕНЕРАЦИЯСЕТИ"""	Торговля электроэнергией…	690003, г Владивосток, ул Станюковича, д. 1, офис 707	119	3
56	"АО ""ДНИИМФ"""	Деятельность в области инженерных изысканий, инженерно-технического проектирования, управления проектами строительства, выполнения строительного контроля и авторского надзора, предоставление технических консультаций в этих областях	690091, г Владивосток, ул Фонтанная, д. 40	212	2
57	"АО ""ДТА-КОНСТРУКЦИЯ"""	Деятельность сухопутного и трубопроводного транспорта	г Артем, 1 Рабочая 83а	13	1
58	"АО ""ДЭСП"""	Деятельность, связанная с инженерно-техническим проектированием, управлением проектами строительства, выполнением строительного контроля и авторского надзора	690106, г Владивосток, пр-кт Партизанский, д. 26	3	0
59	"АО ""Изумруд"""	Производство радиолокационной, радионавигационной аппаратуры и радиоаппаратуры дистанционного управления	690105, г Владивосток, ул Русская, д. 65	713	20
60	"АО ""ИНТРАРОС"""	Рыболовство морское…	690001, г Владивосток, ул Пушкинская, д. 87	201	0
61	"АО ""ИПК ""ДАЛЬПРЕСС"""	Деятельность полиграфическая и предоставление услуг в этой области…	690106, г Владивосток, пр-кт Красного Знамени, д. 10	129	0
62	"АО ""КОКК"""	Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки	690091, г Владивосток, пр-кт Океанский, д. 26, офис 503	522	0
63	"АО ""КРОКУС"""	Аренда и управление собственным или арендованным нежилым недвижимым имуществом…	690091, г Владивосток, пр-кт Океанский, д. 17, офис 611	158	0
64	"АО ""Курское"""	Выращивание зерновых (кроме риса), зернобобовых культур и семян масличных культур…	г Владивосток, ул Алеутская, д. 45, офис 503/1	40	0
65	"АО ""ННК-Приморнефтепродукт"""	Торговля оптовая моторным топливом, включая авиационный бензин	690062, г Владивосток, пр-кт Острякова, д. 44, корп. а	1347	4
66	"АО ""ОЛЬГЕРД"""	Деятельность сухопутного пассажирского транспорта: внутригородские и пригородные перевозки пассажиров…	690025, г Владивосток, ул Успенского, д. 62, корп. А, ст. Океанская,  складской комплекс	50	0
67	"АО ""ПААК"""	Деятельность вспомогательная, связанная с воздушным и космическим транспортом…	690091, г Владивосток, ул Адмирала Фокина, д. 24, корп. В	165	3
68	"АО ""Примавтодор"""	Строительство мостов и тоннелей…	690062, г Владивосток, ул Нефтеветка, д. 8	2684	0
69	"АО ""ПРИМОРАГП"""	Деятельность топографо-геодезическая	690077, г Владивосток, ул 50 лет ВЛКСМ, д. 1	46	0
70	"АО ""ПРИМОРГАЗ"""	Производство и распределение газообразного топлива	690016, г Владивосток, ул Борисенко, д. 34	92	0
71	"АО ""ПРИМОРСКЛЕСПРОМ"""	Торговля оптовая древесным сырьем и необработанными лесоматериалами…	690090, г Владивосток, ул Суханова, д. 3	197	12
72	"АО ""ПТДК"""	Торговля розничная книгами в специализированных магазинах…	690034, г Владивосток, ул Фадеева, д. 45, корп. А	66	1
73	"АО ""Р/К ""ВОСТОК-1"""	Рыболовство морское	690106, г Владивосток, пр-кт Красного Знамени, д. 42	1097	0
74	"АО ""РЕНЕССАНС АКТИВ"""	Строительство зданий	690105, г Владивосток, ул Русская, д. 65	320	0
75	"АО ""Роял Кредит Банк"""	Денежное посредничество прочее	690068, г Владивосток, пр-кт 100-летия Владивостока, д. 155, корп. 1, офис литер Б	174	0
76	"АО ""РСЦ"""	Строительство жилых и нежилых зданий	690005, г Владивосток, ул Светланская, д. 150	84	1
77	"АО ""РТК"""	Торговля розничная аудио- и видеотехникой в специализированных магазинах…	690001, г Владивосток, ул Дальзаводская, д. 23, Собеседование каждую среду в 13.00 час.	246	0
78	"АО ""РУСГИДРО ЛОГИСТИКА"""	Торговля оптовая твердым, жидким и газообразным топливом и подобными продуктами…	г Владивосток, ул Западная, д. 29	37	1
79	"АО ""СОЮЗ-РЕМОНТ"""	Строительство кораблей, судов и лодок…	690021, г Владивосток, ул Калинина, д. 244, 2-й этаж	115	0
80	"АО ""Терминал Астафьева"""	Транспортная обработка прочих грузов…	692920, г Находка, ул Астафьева, д. 1	435	5
81	"АО ""Фармация"""	Торговля розничная лекарственными средствами в специализированных магазинах (аптеках)…	690106, г Владивосток, пр-кт Партизанский, д. 44, корп. 3	40	0
82	"АО ""ФИРМА ""АВРОРА"""	Производство изделий из бетона для использования в строительстве…	690074, г Владивосток, ул Снеговая, д. 18, корп. А	79	11
83	"АО ""ФПК"""	Перевозка пассажиров железнодорожным транспортом в междугородном сообщении	690088, г Владивосток, ш Военное, д. 1, корп. а	1008	5
84	"АО ""ШУ ВОСТОЧНОЕ"""	Добыча антрацита подземным способом	692567, р-н Октябрьский, пгт Липовцы, ул Ленина, д. 2	14	0
85	"АО ""Экспресс Приморья"""	Перевозка пассажиров железнодорожным транспортом в междугородном сообщении…	690002, г Владивосток, ул Амурская, д. 88	444	2
86	"АО ВМУ ""ДЭМ"""	Производство электромонтажных работ…	690011, г Владивосток, ул Новожилова, д. 21	134	4
87	"АО ВП ""ЭРА"""	Ремонт электрического оборудования…	690001, г Владивосток, ул Пионерская, д. 1, Кабинет 102, 103А. Режим работы с 08.30 до 17.30 (обед с 12.00 до 13.00)	593	20
88	АО Райффайзенбанк филиал Дальневосточный Операционный офис Владивостокский	Денежное посредничество прочее	690002, г Владивосток, пр-кт Острякова, д. 8	46	0
89	"АО ХК ""ДМП"""	Рыболовство морское…	690091, г Владивосток, ул Пологая, д. 53	169	0
90	"Арсеньевский филиал КГКУ ""Приморское лесничество"""	Лесоводство и прочая лесохозяйственная деятельность	692331, г Арсеньев, ул 9 Мая, д. 83	50	5
91	"Артемовский филиал КГУП ""Примтеплоэнерго"""	Передача пара и горячей воды (тепловой энергии)	г Артем, ул Кирова, д. 7, корп. а	682	13
92	"Ассоциация ""ФК ""Луч"""	Деятельность спортивных объектов	690048, г Владивосток, ул Овчинникова, д. 26, корп. а	81	0
